Building Code,Room,Capacity
173,235,30
145,102,50
145,110,58
145,121,50
145,316,40
103,B5,143
103,B9,139
086,380,42
126,101,96
066A,204,37
066A,320,53
066A,322,26
166,102,70
166,123,30
166,125,30
166,127,32
166,129,36
166,131,30
166,144,305
166,146,12
166,150,12
166,152,305
166,248,8
166,250,8
166,262,36
166,272,32
166,278,30
166,280,27
166,323,24
166,325,30
166,423,44
050,16,240
050,17,102
050,52,40
050,53,31
050,101,60
050,102,48
076,107,48
076,123,242
076,207,55
076,309,48
075,258,48
075,259,20
075,260,20
041,G8,27
041,201,48
041,202,36
041,212,32
147,L1105,36
147,L1116,32
147,L1118,32
147,L1125,36
147,L1175,40
147,L1205,94
147,L1255,106
040,244,48
040,246,48
081,L1,268
081,L2,153
081,L3,153
081,L4,268
081,L5,57
081,N210,36
081,S104,32
081,S105A,30
081,S106,32
081,S107,32
081,S204,38
055,103,300
055,105,76
055,109,70
055,111,116
055,115,80
055,205,80
055,209,70
055,211,116
055,215,80
210,152,176
210,210,64
210,230,64
153,1207,30
153,1443,200
153,1447,75
153,1456,100
153,2443,100
153,2447,75
153,2456,75
144,183,50
144,184,58
144,185,90
135,2404,97
135,2405,20
135,2407,72
135,3403,40
111,1133,95
111,2117,68
111,3132,40
111,3133,70
111,5134,70
167,1201A,48
167,1222,50
167,1224,42
167,G011,150
167,G021,48
129,109,223
172,100,348
172,101,75
172,102,75
172,103,75
172,200,125
172,201,75
172,202,75
172,203,75
172,221,54
172,222,75
172,223,54
172,224,75
172,300,125
002,154,46
002,156,41
002,168,45
002,169,38
002,170,40
002,171,38
002,202,57
002,246,40
002,249,72
002,254,47
002,255,48
002,256,38
002,257,41
002,268,48
002,269,35
002,270,45
002,271,45
002,308,34
002,311,36
002,314,37
002,317,35
002,368,48
002,371,39
024,11,25
024,15,25
024,104,48
024,105,189
024,203,16
024,207,44
024,208,25
024,304,40
031,152,142
039,106,25
039,115,25
039,325,25
175,118,93
175,132,150
085,C240,54
085,C241,54
085,C340,54
085,C341,54
085,C456,48
085,C457,48
085,E283,56
085,E361,27
098,1,116
098,2,116
165,1103,62
165,1214,48
165,1232,48
