Term,Subject,Course,CRN,Section,Start Time,End Time,Days,Building,Room,Primary Instructor(s),Additional Instructor(s),Enrollment Actual,Enrollment Maximum,Enrollment Seats Available,Waitlist Capacity,Waitlist Actual,Waitlist Seats Available,Building Code,Room Capacity,Utilization
Fall 2025,CS,CS 2110,82434,A,11:00,12:15,WF,Klaus Advanced Computing,1443,Mark Moss,,100,100,0,150,19,131,153,200.0,0.5
Fall 2025,CS,CS 2110,86715,A01,15:30,16:45,MW,Van Leer,E283,Mark Moss,,50,50,0,0,0,0,85,56.0,0.8928571428571429
Fall 2025,CS,CS 2110,86716,A02,17:00,18:15,MW,College of Computing,101,Mark Moss,,22,50,28,0,0,0,50,60.0,0.36666666666666664
Fall 2025,CS,CS 2110,86717,A03,17:00,18:15,MW,Cherry Emerson,320,Mark Moss,,17,50,33,0,0,0,066A,53.0,0.32075471698113206
Fall 2025,CS,CS 2110,86718,A04,18:30,19:45,MW,Van Leer,C340,Mark Moss,,11,50,39,0,0,0,85,54.0,0.2037037037037037
Fall 2025,CS,CS 2110,81185,B,12:30,13:45,WF,Klaus Advanced Computing,1443,Mark Moss,,99,100,1,50,8,42,153,200.0,0.495
Fall 2025,CS,CS 2110,88097,B01,17:00,18:15,MW,Howey Physics,L5,Mark Moss,,50,50,0,0,0,0,81,57.0,0.8771929824561403
Fall 2025,CS,CS 2110,86719,B02,17:00,18:15,MW,Molecular Sciences and Engr,1222,Mark Moss,,6,50,44,0,0,0,167,50.0,0.12
Fall 2025,CS,CS 2110,86720,B03,17:00,18:15,MW,Howey Physics,L3,Mark Moss,,13,50,37,0,0,0,81,153.0,0.08496732026143791
Fall 2025,CS,CS 2110,86721,B04,18:30,19:45,MW,Scheller College of Business,224,Mark Moss,,20,50,30,0,0,0,172,75.0,0.26666666666666666
Fall 2025,CS,CS 2110,86722,B05,18:30,19:45,MW,Instructional Center,115,Mark Moss,,3,50,47,0,0,0,55,80.0,0.0375
Fall 2025,CS,CS 2110,89049,B06,18:30,19:45,MW,Scheller College of Business,222,Mark Moss,,4,50,46,0,0,0,172,75.0,0.05333333333333334
Fall 2025,CS,CS 2110,91890,B07,17:00,18:15,MW,Mason,5134,Mark Moss,,3,50,47,0,0,0,111,70.0,0.04285714285714286
Fall 2025,CS,CS 2110,86858,C,14:00,15:15,TR,College of Computing,16,Thomas Conte,,100,100,0,50,48,2,50,240.0,0.4166666666666667
Fall 2025,CS,CS 2110,86859,C01,15:30,16:45,MW,Cherry Emerson,320,Thomas Conte,,34,50,16,0,0,0,066A,53.0,0.6415094339622641
Fall 2025,CS,CS 2110,86861,C02,17:00,18:15,MW,Instructional Center,115,Thomas Conte,,22,50,28,0,0,0,55,80.0,0.275
Fall 2025,CS,CS 2110,86864,C03,18:30,19:45,MW,Instructional Center,215,Thomas Conte,,10,50,40,0,0,0,55,80.0,0.125
Fall 2025,CS,CS 2110,90401,C04,15:30,16:45,MW,Molecular Sciences and Engr,1222,Thomas Conte,,20,50,30,0,0,0,167,50.0,0.4
Fall 2025,CS,CS 2110,90402,C05,17:00,18:15,MW,East Architecture,207,Thomas Conte,,6,50,44,0,0,0,76,55.0,0.10909090909090909
Fall 2025,CS,CS 2110,90403,C06,18:30,19:45,MW,Klaus Advanced Computing,2447,Thomas Conte,,8,50,42,0,0,0,153,75.0,0.10666666666666667
Fall 2025,CS,CS 2110,93265,D,12:30,13:45,TR,Paper Tricentennial,109,David Hillegass,,73,100,27,50,0,50,129,223.0,0.3273542600896861
Fall 2025,CS,CS 2110,93387,D01,18:30,19:45,MW,Instructional Center,205,David Hillegass,,18,50,32,0,0,0,55,80.0,0.225
Fall 2025,CS,CS 2110,93388,D02,17:00,18:15,MW,Kendeda,210,David Hillegass,,25,50,25,0,0,0,210,64.0,0.390625
